"","CR_1D_1","CR_7D_1","CR_14D_1","CS_1D_1","CS_7D_1","CS_14D_1","TR_1D_1","TR_7D_1","TR_14D_1","TS_1D_1","TS_7D_1","TS_14D_1"
"GRMZM2G171650",118,549,644,30,37,81,98,592,712,16,47,57
"GRMZM2G044851",635,130,515,190,188,74,484,160,312,121,169,45
"GRMZM2G139834",420,1876,602,46,82,46,420,2022,793,34,60,30
"GRMZM2G060940",105,992,534,122,213,307,89,1343,975,75,256,270
"GRMZM2G063431",777,30,37,152,1891,1821,880,27,49,208,1594,1426
"GRMZM2G171365",208,708,1030,22,57,142,183,668,1252,21,73,126
"GRMZM2G009719",83,553,511,29,35,39,106,334,224,24,35,28
"GRMZM2G060974",77,450,171,0,0,0,71,586,154,0,0,0
"GRMZM2G059102",283,1031,2365,399,978,1038,245,1178,2093,286,1007,857
"GRMZM2G152079",315,1465,1911,85,218,275,430,1978,1587,62,218,368
"GRMZM2G082943",25,193,154,15,19,10,37,142,55,8,48,6
"GRMZM2G083195",760,132,130,1653,1774,1178,293,192,206,1611,2210,860
"GRMZM2G096407",52,311,182,3784,3216,3273,53,239,122,2559,2650,4184
"GRMZM2G026223",470,1273,1453,112,264,558,435,1206,1779,71,245,691
"GRMZM2G106413",223,1022,966,440,422,428,353,831,291,370,430,447
"GRMZM2G106511",18,160,164,4,4,4,33,93,54,1,3,8
"GRMZM2G305362",164,851,372,60,30,4,219,410,210,39,20,3
"GRMZM2G080466",9445,32144,27019,939,1865,1629,11397,22743,25177,837,1413,2625
"GRMZM2G034815",475,1283,1776,1,0,0,449,1483,1561,0,1,0
"GRMZM2G168502",324,92,197,767,887,994,234,226,88,618,941,849
"AC186231.4_FG002",18,102,295,0,0,0,14,122,168,0,1,0
"GRMZM2G386674",318,1237,665,54,105,107,425,678,336,51,119,63
"GRMZM2G106393",82,692,705,107,118,80,116,419,227,65,104,103
"GRMZM2G157760",2491,9796,2999,957,777,394,1788,4274,3096,878,653,201
"GRMZM2G419994",53,461,297,176,388,2454,127,236,159,151,328,2135
"GRMZM2G129674",11,196,279,5,9,7,37,106,88,2,10,1
"GRMZM2G466545",138,567,371,2,17,6,170,714,385,1,7,6
"GRMZM2G106445",298,1177,1274,88,118,54,385,754,409,62,106,51
"GRMZM2G168898",934,3212,2367,860,1530,2474,1063,2952,2643,640,1290,3085
"GRMZM2G164974",645,118,88,8545,5953,1190,373,79,258,9737,6375,689
"GRMZM2G421491",602,2457,2284,17520,15480,11656,658,2225,1086,17249,26579,1820
"GRMZM2G158378",32,169,3786,2,0,0,23,322,3924,0,0,0
"GRMZM2G060742",31,144,30,8632,7175,2324,28,64,54,7488,7288,1605
"GRMZM2G066489",186,489,231,2795,3243,1312,169,411,247,2188,3317,1198
"GRMZM2G123986",335,1017,559,37,68,101,303,1449,924,47,85,106
"GRMZM2G010909",643,2017,1529,21,29,42,619,1724,2644,20,38,57
"GRMZM2G073427",185,425,1817,680,1199,6800,175,434,2437,632,1177,5303
"GRMZM2G099642",876,168,22,236,246,236,414,180,48,200,248,70
"GRMZM2G085577",2278,1251,907,2244,2086,2666,1861,1170,923,2191,2102,3061
"GRMZM2G371167",700,2292,606,4572,2900,1427,776,2258,794,2916,2991,1295
"GRMZM2G101116",263,822,244,108,68,57,240,481,217,74,68,53
"AC203989.4_FG001",171,734,501,57,82,74,240,430,250,64,70,52
"GRMZM2G137532",117,316,477,8,8,6,143,354,444,7,6,5
"GRMZM2G316362",97,1391,590,1,1,1,221,457,273,0,1,0
"GRMZM2G104269",50,155,520,82,213,820,47,159,570,79,185,883
"GRMZM2G158682",630,1492,6519,1,0,0,635,2157,7139,1,0,0
"GRMZM2G105522",20,149,51,2,4,6,20,196,51,0,4,6
"GRMZM2G158013",410,1372,559,588,1070,928,370,1186,1047,416,1090,1615
"GRMZM2G087254",603,2010,668,1110,747,485,661,1843,843,623,633,1060
"GRMZM2G480516",1127,465,220,1539,1260,878,545,511,276,1339,1146,733
"GRMZM2G308687",9294,4255,2259,2633,2953,1498,6187,3327,2588,1983,2558,2040
"GRMZM2G173669",4340,921,3300,4871,6028,6135,2880,1763,2503,3958,5946,7232
"GRMZM2G125969",821,520,272,707,283,140,576,501,360,706,300,121
