"","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5"
"1","Phvul.001G001500","Phvul.001G006300","Phvul.001G012700","Phvul.001G093400","Phvul.001G009300"
"2","Phvul.001G020700","Phvul.001G017400","Phvul.001G012800","Phvul.001G160100","Phvul.001G015100"
"3","Phvul.001G026400","Phvul.001G230200","Phvul.001G083000","Phvul.001G160500","CUFF.109.2"
"4","Phvul.001G037100","CUFF.404.1","Phvul.001G125900","Phvul.001G173300","Phvul.001G060300"
"5","Phvul.001G039700","Phvul.002G025500","Phvul.001G168700","Phvul.001G247600","Phvul.001G088700"
"6","Phvul.001G043100","Phvul.002G104800","Phvul.001G177700","Phvul.001G248200","CUFF.678.1"
"7","Phvul.001G049600","Phvul.002G124500","Phvul.001G216300","Phvul.001G250300","Phvul.001G111700"
"8","Phvul.001G064000","Phvul.002G020900","Phvul.001G227900","Phvul.001G248300","Phvul.001G112100"
"9","Phvul.001G077000","CUFF.2526.1","Phvul.001G102300","Phvul.002G030900","CUFF.800.1"
"10","Phvul.001G082000","Phvul.003G006500","Phvul.001G146800","Phvul.002G158700","Phvul.001G135600"
"11","Phvul.001G082800","Phvul.003G011900","Phvul.001G168900","Phvul.002G200000","Phvul.001G151600"
"12","Phvul.001G085200","Phvul.003G036600","Phvul.001G192200","Phvul.002G261900","Phvul.001G154100"
"13","Phvul.001G100200","Phvul.003G152200","Phvul.001G202400","Phvul.002G278500","Phvul.001G164400"
"14","Phvul.001G107400","Phvul.003G277600","Phvul.001G202500","Phvul.002G057500","Phvul.001G176300"
"15","Phvul.001G110400","Phvul.003G004300","Phvul.001G229500","Phvul.002G196100","Phvul.001G220300"
"16","Phvul.001G111000","Phvul.003G005600","Phvul.001G246300","Phvul.002G200700","Phvul.001G230500"
"17","Phvul.001G114800","Phvul.003G046900","Phvul.002G022300","Phvul.002G200800","Phvul.001G243900"
"18","Phvul.001G126600","Phvul.003G120500","Phvul.002G039100","Phvul.002G221900","Phvul.001G251400"
"19","Phvul.001G131600","Phvul.004G062600","Phvul.002G039200","Phvul.003G005700","Phvul.001G252900"
"20","Phvul.001G146300","Phvul.004G086400","Phvul.002G063700","Phvul.003G039500","Phvul.001G267000"
"21","Phvul.001G147700","Phvul.004G101800","Phvul.002G151100","Phvul.003G056700","Phvul.001G001700"
"22","Phvul.001G184600","CUFF.5716.1","Phvul.002G188700","Phvul.003G206400","Phvul.001G055800"
"23","Phvul.001G185500","Phvul.004G134000","Phvul.002G203800","Phvul.003G212100","Phvul.001G076400"
"24","Phvul.001G185800","Phvul.004G134100","Phvul.002G218700","Phvul.003G015300","Phvul.001G117200"
"25","Phvul.001G197800","Phvul.004G129400","Phvul.002G225300","CUFF.3483.1","Phvul.001G131100"
"26","Phvul.001G205900","Phvul.004G133900","Phvul.002G260400","Phvul.003G030200","Phvul.001G165500"
"27","Phvul.001G213600","CUFF.6480.1","Phvul.002G327800","Phvul.003G041200","Phvul.001G167400"
"28","Phvul.001G215300","Phvul.005G125400","Phvul.002G022200","Phvul.003G070000","Phvul.001G225000"
"29","Phvul.001G219000","Phvul.005G017700","Phvul.002G038600","Phvul.003G151400","Phvul.001G253500"
"30","Phvul.001G221400","CUFF.6484.1","Phvul.002G038700","Phvul.003G218600","CUFF.258.1"
"31","Phvul.001G221700","CUFF.6519.1","Phvul.002G038800","Phvul.003G224800","Phvul.002G026800"
"32","Phvul.001G226600","Phvul.006G046000","Phvul.002G038900","Phvul.003G225100","Phvul.002G037900"
"33","Phvul.001G229600","Phvul.006G017400","Phvul.002G039000","Phvul.003G238700","Phvul.002G043800"
"34","Phvul.001G229700","Phvul.006G093600","Phvul.002G039300","Phvul.004G019900","Phvul.002G057800"
"35","Phvul.001G235800","Phvul.006G178600","Phvul.002G040100","Phvul.004G042800","Phvul.002G071900"
"36","Phvul.001G246200","Phvul.007G059700","Phvul.002G092100","CUFF.5253.1","Phvul.002G140100"
"37","Phvul.001G246900","Phvul.007G192800","Phvul.002G105800","Phvul.004G102700","Phvul.002G237900"
"38","Phvul.001G254300","Phvul.007G060000","Phvul.002G132200","Phvul.004G037200","Phvul.002G245500"
"39","Phvul.001G254400","Phvul.007G080400","Phvul.002G152700","Phvul.004G057100","Phvul.002G247600"
"40","Phvul.001G258000","Phvul.007G235300","Phvul.002G163500","Phvul.004G076100","Phvul.002G296300"
"41","Phvul.001G262400","Phvul.008G062900","Phvul.002G175900","Phvul.004G131000","Phvul.002G314300"
"42","Phvul.001G009700","Phvul.008G076600","Phvul.002G184300","Phvul.004G174300","Phvul.002G003000"
"43","Phvul.001G011800","Phvul.008G146200","Phvul.002G219400","Phvul.005G017600","Phvul.002G006200"
"44","Phvul.001G029100","Phvul.009G028700","Phvul.002G235900","Phvul.005G033800","Phvul.002G104500"
"45","Phvul.001G036700","Phvul.009G257600","Phvul.002G313600","CUFF.6193.1","Phvul.002G108900"
"46","Phvul.001G038400","Phvul.010G047900","Phvul.003G066500","Phvul.005G039100","Phvul.002G127300"
