,D3E,D3I,D3M,ND3E,ND3I,ND3M
Phvul.001G001500,517,723,1702,317,473,1443
Phvul.001G006300,230,3153,5903,2389,14255,26506
Phvul.001G009300,465,229,749,396,191,605
Phvul.001G012700,33140,46393,2024,66,356,64
Phvul.001G012800,9584,8180,282,20,82,13
Phvul.001G015100,590,259,593,555,222,439
Phvul.001G017400,837,1248,336,182,810,545
CUFF.109.2,466,369,1591,465,263,1125
Phvul.001G020700,47,43,191,48,15,105
Phvul.001G026400,1226,590,6,1232,1040,6
Phvul.001G037100,36,8,116,87,28,163
Phvul.001G039700,197,759,32,145,822,34
Phvul.001G043100,29,2,1,64,4,2
Phvul.001G049600,58,16,141,40,14,65
Phvul.001G060300,376,172,717,364,145,476
Phvul.001G064000,17550,17361,4693,23749,20742,8527
Phvul.001G077000,4051,1183,421,5863,781,485
Phvul.001G082000,1865,58,95,2227,56,37
Phvul.001G082800,63,220,25,52,277,81
Phvul.001G083000,5994,9197,97,54,257,67
Phvul.001G085200,3109,623,620,4023,775,1231
Phvul.001G088700,679,156,598,320,152,337
Phvul.001G093400,122,116,0,60,45,0
Phvul.001G100200,1958,65,3011,2481,42,1849
Phvul.001G107400,22,10,346,17,10,218
CUFF.678.1,228,85,118,110,50,60
Phvul.001G110400,1053,330,44,553,375,39
Phvul.001G111000,3472,3211,761,3928,3544,1571
Phvul.001G111700,1940,1507,657,1307,1395,714
Phvul.001G112100,200,61,334,108,55,123
Phvul.001G114800,712,209,51,782,138,100
Phvul.001G125900,1462,2518,40,155,71,25
Phvul.001G126600,61,2,10,91,1,3
CUFF.800.1,413,342,256,204,135,158
Phvul.001G131600,25,16,1082,14,22,531
Phvul.001G135600,1478,697,1177,1462,759,818
Phvul.001G146300,350,48,566,308,80,340
Phvul.001G147700,51,13,610,31,10,250
Phvul.001G151600,887,559,1626,689,421,1364
Phvul.001G154100,148,128,311,131,103,283
Phvul.001G160100,37,3,0,82,1,0
Phvul.001G160500,15,6,0,57,7,1
Phvul.001G164400,155,45,72,68,77,53
Phvul.001G168700,113,90,83,92,22,73
Phvul.001G173300,3817,659,5,6077,582,5
Phvul.001G176300,558,459,194,243,509,166
Phvul.001G177700,2984,5453,288,664,1964,505
Phvul.001G184600,12,4,529,9,7,136
Phvul.001G185500,13,42,361,18,50,530
Phvul.001G185800,279,161,3,243,269,11
Phvul.001G197800,114,248,42,138,207,89
Phvul.001G205900,13,6,236,15,5,118
Phvul.001G213600,69,3,282,69,4,164
Phvul.001G215300,1,9,710,2,6,301
Phvul.001G216300,676,336,583,22,13,10
Phvul.001G219000,753,513,226,938,602,447
Phvul.001G220300,773,623,1543,596,423,1154
Phvul.001G221400,97,67,1559,113,70,1110
Phvul.001G221700,4139,5843,140,5006,7460,526
Phvul.001G226600,237,196,3148,222,161,1792
Phvul.001G227900,147,154,64,70,39,32
Phvul.001G229600,856,391,11,848,691,28
Phvul.001G229700,233,73,52,316,224,37
Phvul.001G230500,426,206,333,378,195,207
Phvul.001G235800,599,295,36,875,421,67
Phvul.001G243900,391,130,211,286,104,132
Phvul.001G246200,970,1271,1264,1062,1354,2306
Phvul.001G246900,559,783,19084,340,834,17942
Phvul.001G247600,20,3,0,161,5,1
Phvul.001G248200,13,55,0,39,221,0
Phvul.001G250300,160,1389,1,155,966,1
Phvul.001G251400,446,174,181,156,186,94
Phvul.001G252900,1105,460,1053,728,794,970
Phvul.001G254300,7,91,24,9,40,14
Phvul.001G254400,125,288,98,92,169,83
Phvul.001G258000,67,40,35,100,62,71
Phvul.001G262400,1944,1408,63,2143,2445,109
Phvul.001G267000,2112,482,1443,2012,453,878
Phvul.001G001700,657,363,105,488,220,93
Phvul.001G009700,11,15,156,14,9,98
Phvul.001G011800,229,231,887,150,218,837
Phvul.001G029100,511,61,166,607,104,258
Phvul.001G036700,338,83,49,563,137,76
Phvul.001G038400,895,185,5,629,174,9
Phvul.001G055800,381,181,873,338,145,676
Phvul.001G074200,242,8,112,209,11,52
Phvul.001G076400,1153,608,2108,857,493,1662
Phvul.001G077400,100,480,1210,133,442,650
Phvul.001G078400,10,0,116,9,2,76
Phvul.001G080700,605,445,655,1119,470,775
Phvul.001G102300,4717,5129,106,475,858,78
Phvul.001G103300,1320,1024,351,1436,1287,599
Phvul.001G103800,13,35,246,13,38,176
Phvul.001G117200,359,73,268,137,73,186
Phvul.001G118300,4835,1139,12037,5599,2096,14159
Phvul.001G120700,480,98,386,734,100,465
Phvul.001G131100,856,352,976,842,280,820
Phvul.001G145800,51,2,1,26,0,0
Phvul.001G146800,34,33,2,10,9,3
Phvul.001G148000,1,1,127,0,1,61
Phvul.001G154500,21,11,155,15,10,67
Phvul.001G165500,513,490,424,442,389,329
Phvul.001G167400,1378,655,2337,1196,556,1983
Phvul.001G168900,88,12,3,19,7,2
Phvul.001G172900,333,1061,2014,495,1325,2510
Phvul.001G188900,168,32,292,125,37,176
Phvul.001G192200,2247,1867,77,3,22,4
Phvul.001G194700,70,8,31,30,19,26
Phvul.001G202400,881,259,60,603,275,3
Phvul.001G202500,3738,3558,3548,40,57,46
Phvul.001G212700,25,10,11,27,9,39
Phvul.001G221500,458,771,270,293,632,353
Phvul.001G225000,174,76,635,192,68,337
Phvul.001G229500,5260,3534,833,2957,1837,443
Phvul.001G230200,1817,227,729,365,353,310
Phvul.001G230300,979,524,50,700,415,35
Phvul.001G234300,1325,811,938,1453,1043,1484
Phvul.001G246300,6,2,9,28,9,47
Phvul.001G248300,15,142,1,7,217,1
Phvul.001G248400,771,643,1071,1857,585,2544
Phvul.001G253500,576,209,362,374,184,257
Phvul.001G254200,96,86,2552,122,56,1680
Phvul.001G255500,340,299,697,522,505,1041
Phvul.001G256200,16,9,10,16,15,31
Phvul.001G257300,4140,4822,4742,4048,5787,8873
Phvul.001G257400,178,273,447,337,409,1117
Phvul.001G258200,6,44,18,12,30,13
Phvul.001G258300,652,516,121,1172,909,384
Phvul.001G263300,489,134,970,1014,142,1260
Phvul.001G265600,1233,16643,34379,1699,14826,36870
CUFF.258.1,290,191,387,161,226,223
CUFF.404.1,0,0,0,2,1,6
CUFF.1199.1,17,0,125,19,1,79
Phvul.002G020200,4,11,453,2,23,1125
Phvul.002G020600,46,131,421,59,131,259
Phvul.002G022300,146,168,48,1256,750,215
CUFF.1676.1,203,110,55,224,191,75
Phvul.002G025500,56,2,27,43,3,215
Phvul.002G026800,218,125,124,126,106,96
Phvul.002G027900,130,271,1677,120,176,1193
Phvul.002G028400,2,2,1,3,0,3
Phvul.002G029700,61,130,323,24,62,327
Phvul.002G030900,62,5,0,105,14,0
Phvul.002G035300,206,9,32,421,3,31
Phvul.002G037900,747,359,905,633,338,821
Phvul.002G039100,1472,2274,41,40,29,4
Phvul.002G039200,687,763,126,6,14,3
Phvul.002G043800,707,637,1453,528,416,1235
Phvul.002G052800,49,326,64,35,424,192
Phvul.002G057800,1727,692,2536,1519,546,2046
Phvul.002G063700,221,106,20,84,32,19
Phvul.002G068000,0,1,15,1,2,50
CUFF.1904.2,81,61,2,225,88,3
Phvul.002G071900,1407,739,1666,1430,535,1438
Phvul.002G085500,100,152,1237,68,147,751
Phvul.002G093100,211,193,226,131,258,243
Phvul.002G097000,125,12,8,82,12,6
Phvul.002G097100,112,694,2635,56,445,2802
Phvul.002G104800,3959,4010,6896,1018,212,1854
Phvul.002G109000,102,574,10,106,1046,40
Phvul.002G111300,1368,4384,370,1154,4401,788
Phvul.002G111400,1804,1657,2318,2263,1899,3203
CUFF.2210.1,13,12,39,4,6,9
Phvul.002G122200,95,170,485,189,185,807
Phvul.002G124500,522,63,99,85,40,68
Phvul.002G140100,1424,1614,2336,1001,746,2013
Phvul.002G151100,427,414,19,40,18,7
Phvul.002G156900,27,42,6121,25,38,4396
Phvul.002G158700,49,0,0,50,1,0
Phvul.002G170200,4448,196,432,5746,177,231
Phvul.002G188600,41,58,419,34,66,223
