"","D1E","D2E","D3E","D1I","D2I","D3I","D1M","D2M","D3M","ND1E","ND2E","ND3E","ND1I","ND2I","ND3I","ND1M","ND2M","ND3M"
"Phvul.001G001500",536,517,515,848,723,616,1662,2214,1702,317,212,319,440,473,572,1214,1443,1580
"Phvul.001G006300",195,230,353,3210,3153,2121,16232,5903,4944,2882,1710,2389,14927,13232,14255,18798,30398,26506
"Phvul.001G009300",344,465,604,257,225,229,657,1191,749,433,285,396,191,166,209,389,605,734
"Phvul.001G012700",37653,33140,27304,43351,51526,46393,1920,2024,2115,17,66,69,356,131,1074,13,64,81
"Phvul.001G012800",10252,9584,7655,7895,8463,8180,184,319,282,14,41,20,82,31,217,10,14,13
"Phvul.001G015100",558,590,671,345,259,244,593,792,491,555,313,586,222,213,273,439,472,396
"Phvul.001G017400",880,837,579,1270,1248,1075,348,291,336,182,140,190,810,592,836,467,545,697
"CUFF.109.2",364,466,903,416,323,369,1149,2597,1591,465,279,608,222,277,263,708,1126,1125
"Phvul.001G020700",37,47,73,43,49,39,172,327,191,48,34,59,14,33,15,68,115,105
"Phvul.001G026400",1297,1226,914,590,648,420,6,11,6,1391,1180,1232,1040,985,1127,3,6,11
"Phvul.001G037100",32,36,116,7,8,10,116,105,144,87,39,104,42,24,28,130,163,236
"Phvul.001G039700",155,197,366,196,1427,759,39,32,32,121,145,339,92,822,4083,42,30,34
"Phvul.001G043100",27,36,29,2,3,1,3,0,1,67,55,64,4,0,4,0,2,2
"Phvul.001G049600",18,58,111,16,11,16,92,181,141,53,29,40,14,14,25,28,65,110
"Phvul.001G060300",243,376,543,244,172,169,513,1167,717,364,248,376,111,150,145,389,476,499
"Phvul.001G064000",20278,17550,14425,16092,19328,17361,4867,2973,4693,23749,18707,26354,13685,20742,23387,8527,8839,7080
"Phvul.001G077000",2945,4051,5457,1351,1149,1183,351,479,421,5900,4327,5863,781,648,799,447,485,545
"Phvul.001G082000",1324,1865,2694,96,42,58,45,106,95,2626,1835,2227,100,46,56,19,37,82
"Phvul.001G082800",49,65,63,220,227,170,48,25,20,52,40,57,286,193,277,73,96,81
"Phvul.001G083000",8457,5994,4538,9838,9197,8930,88,97,117,51,54,71,257,169,331,50,67,80
"Phvul.001G085200",2319,3109,4686,569,699,623,977,514,620,4341,2887,4023,673,775,791,1421,1215,1231
"Phvul.001G088700",206,679,877,154,163,156,386,899,598,320,241,335,152,116,231,105,337,584
"Phvul.001G093400",122,136,106,130,116,110,1,0,0,62,57,60,29,45,50,0,0,0
"Phvul.001G100200",1220,1958,4603,66,58,65,1541,3011,4052,2481,1629,3265,154,32,42,1849,1541,2525
"Phvul.001G107400",7,22,32,10,11,10,179,346,403,10,21,17,16,8,10,146,218,268
"CUFF.678.1",59,228,261,85,88,79,92,169,118,110,69,115,39,50,91,29,60,105
"Phvul.001G110400",610,1679,1053,350,328,330,39,66,44,632,409,553,375,271,719,19,39,101
"Phvul.001G111000",3138,3472,4759,3158,4126,3211,942,761,758,3928,3280,4174,3544,3304,4474,1258,1571,1636
"Phvul.001G111700",2038,1940,1880,1528,1507,1424,694,657,510,1307,1179,1348,1395,1223,1446,627,740,714
"Phvul.001G112100",54,200,340,78,49,61,152,346,334,108,77,143,49,55,98,47,123,328
"Phvul.001G114800",624,775,712,209,228,117,51,41,56,782,576,1163,138,130,189,100,100,102
"Phvul.001G125900",2065,1284,1462,2518,2987,2496,57,30,40,155,121,159,71,39,105,25,30,16
"Phvul.001G126600",40,61,83,4,2,1,12,10,10,90,91,153,8,1,1,6,3,3
"CUFF.800.1",375,413,535,359,312,342,218,305,256,204,153,227,135,123,224,130,179,158
"Phvul.001G131600",16,25,44,15,16,17,614,1153,1082,14,8,15,24,22,18,531,499,745
"Phvul.001G135600",1092,1478,1907,704,697,626,575,1177,1328,1462,1221,1776,759,592,796,584,818,893
"Phvul.001G146300",98,350,527,64,43,48,357,808,566,308,181,341,80,52,105,162,340,688
"Phvul.001G147700",24,51,134,10,16,13,231,610,745,31,28,62,10,6,15,123,250,419
"Phvul.001G151600",776,887,998,631,542,559,1626,2464,1574,837,561,689,420,421,531,1267,1430,1364
"Phvul.001G154100",122,161,148,152,121,128,311,550,285,131,99,140,90,103,107,178,284,283
"Phvul.001G160100",16,39,37,2,3,4,0,0,0,82,76,114,17,0,1,0,1,0
"Phvul.001G160500",15,13,25,6,1,7,2,0,0,57,26,64,7,4,10,1,0,1
"Phvul.001G164400",64,234,155,45,56,39,60,77,72,86,62,68,77,62,123,13,53,97
"Phvul.001G168700",103,113,123,92,85,90,72,95,83,101,81,92,17,22,24,65,73,82
"Phvul.001G173300",3817,3810,4442,541,659,854,4,9,5,6077,4820,6385,582,511,666,5,5,6
"Phvul.001G176300",223,992,558,459,578,389,140,203,194,254,230,243,509,427,1317,53,166,241
"Phvul.001G177700",3645,2984,2494,5453,5519,4194,434,288,281,697,373,664,1964,1809,2320,510,505,466
"Phvul.001G184600",3,12,37,4,4,2,194,553,529,9,7,17,12,4,7,81,136,653
"Phvul.001G185500",13,12,36,42,45,30,410,361,220,18,7,27,50,46,50,493,530,583
"Phvul.001G185800",279,390,198,175,161,147,1,6,3,225,243,262,269,223,291,7,11,22
"Phvul.001G197800",124,111,114,270,248,194,57,36,42,138,85,151,207,157,209,89,105,80
"Phvul.001G205900",10,13,26,5,6,9,151,236,261,15,9,20,5,4,9,85,118,239
"Phvul.001G213600",39,69,215,3,1,3,159,282,386,69,41,144,8,3,4,164,113,252
"Phvul.001G215300",1,1,3,3,33,9,472,710,916,0,2,3,6,4,16,287,301,677
"Phvul.001G216300",616,676,1312,333,372,336,526,697,583,16,22,30,4,13,15,1,10,18
"Phvul.001G219000",613,753,1259,513,551,451,350,226,219,938,671,1069,662,417,602,453,446,447
"Phvul.001G220300",650,773,873,730,623,571,1543,2256,1445,596,377,609,423,335,465,1119,1154,1239
"Phvul.001G221400",67,97,119,67,93,57,966,1863,1559,115,113,102,70,64,78,811,1177,1110
"Phvul.001G221700",4276,3905,4139,5537,6339,5843,88,144,140,5006,4838,6166,6538,7460,7594,324,526,689
"Phvul.001G226600",186,237,390,196,213,173,1367,3148,4024,222,179,307,159,161,261,1383,1792,2525
"Phvul.001G227900",137,147,201,166,154,125,53,74,64,70,47,88,39,38,47,30,32,47
"Phvul.001G229600",856,1035,795,392,391,354,26,11,9,1003,818,848,720,613,691,29,28,27
"Phvul.001G229700",126,233,234,73,74,33,23,72,52,324,283,316,224,178,230,22,37,56
"Phvul.001G230500",384,426,480,274,204,206,333,458,324,402,234,378,195,122,222,202,207,215
"Phvul.001G235800",620,599,566,295,351,280,50,36,35,714,875,953,421,402,455,47,67,81
"Phvul.001G243900",277,391,497,145,130,123,206,284,211,286,212,296,104,101,126,132,124,198
"Phvul.001G246200",610,970,1360,1271,1287,920,1824,1233,1264,1062,751,1261,1354,1218,1539,2306,2302,2322
"Phvul.001G246900",353,559,1241,783,883,716,14837,19084,19439,340,336,632,834,670,1035,17086,17942,19506
